Title,Price,# of Bedrooms,sqft,City,Post Date,Link
2 Bd/1 Ba Upstairs unit on the AG Mesa,"$2,250",2br,None Listed,Arroyo Grande Mesa,1h ago,https://slo.craigslist.org/apa/d/arroyo-grande-bd-ba-upstairs-unit-on/7590908238.html
Beachside Apt.,"$1,550",1br,400ft2,Oceano,5h ago,https://slo.craigslist.org/apa/d/oceano-beachside-apt/7594458901.html
Studio within walking distance to downtown and Poly,"$1,875",1br,400ft2,1br400ft2,6h ago,https://slo.craigslist.org/apa/d/san-luis-obispo-studio-within-walking/7594442004.html
Tiny house/RV,"$1,100",1br,None Listed,Nipomo,6h ago,https://slo.craigslist.org/apa/d/nipomo-tiny-house-rv/7593711584.html
"Smart Enabled Garage Doors, Resort-Style Pool and Spa","$2,885",2br,1022ft2,Paso Robles,6h ago,https://slo.craigslist.org/apa/d/paso-robles-smart-enabled-garage-doors/7594438867.html
Newly Remodeled Studio-Unfurnished-400 Sq Ft,"$1,850",None Listed,400ft2,Morro Bay Heights,6h ago,https://slo.craigslist.org/apa/d/morro-bay-newly-remodeled-studio/7594432304.html
San Luis Country Club Estates; 3 Bed 2 Bath,"$4,900",3br,2200ft2,San Luis Obispo,7h ago,https://slo.craigslist.org/apa/d/san-luis-obispo-san-luis-country-club/7588743067.html
3 Bedroom 2 Bathroom Home in Atascadero Available NOW!,"$2,350",3br,None Listed,Atascadero,7h ago,https://slo.craigslist.org/apa/d/atascadero-bedroom-bathroom-home-in/7594427938.html
Cozy furnished apartment on the Bay,"$1,450",1br,None Listed,LOS OSOS,7h ago,https://slo.craigslist.org/apa/d/los-osos-cozy-furnished-apartment-on/7594426460.html
Charming Studio Near Downtown Atascadero - $1300/Month##,"$1,300",None Listed,None Listed,"Atascadero, CA",7h ago,https://slo.craigslist.org/apa/d/atascadero-charming-studio-near/7594407662.html
Bungalow on ranch,"$2,525",2br,1450ft2,Nipomo,7h ago,https://slo.craigslist.org/apa/d/nipomo-bungalow-on-ranch/7594423304.html
Lovely 3 Bedroom Condo with Nice Hill Views,"$3,300",3br,1905ft2,3br1905ft2,8h ago,https://slo.craigslist.org/apa/d/san-luis-obispo-lovely-bedroom-condo/7584307337.html
Spanish Style Home in the Heart of the Village,"$4,200",3br,2300ft2,Arroyo Grande,8h ago,https://slo.craigslist.org/apa/d/arroyo-grande-spanish-style-home-in-the/7591470950.html
Beautiful 2 bed 2.5 bath,"$3,300",2br,1043ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-beautiful-bed-25-bath/7594391910.html
Beautiful 2 bed 2.5 bath,"$3,300",2br,1043ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-beautiful-bed-25-bath/7594390721.html
TEMPLETON 3 BEDROOM HOME,"$3,400",3br,None Listed,TEMPLETON,2/28,https://slo.craigslist.org/apa/d/templeton-templeton-bedroom-home/7594385652.html
Reduced! Nice 3 bedroom in gated lake community,"$2,195",3br,None Listed,Heritage Ranch,2/28,https://slo.craigslist.org/apa/d/paso-robles-reduced-nice-bedroom-in/7587305070.html
Well kept 3 bedroom,"$2,250",3br,None Listed,Paso Robles,2/28,https://slo.craigslist.org/apa/d/paso-robles-well-kept-bedroom/7593011615.html
Bright and Open Home for Rent in Los Osos,"$3,450",3br,1482ft2,Los Osos,2/28,https://slo.craigslist.org/apa/d/los-osos-bright-and-open-home-for-rent/7594383410.html
Studio Apartment Minutes from the Beach!,"$1,495",None Listed,None Listed,Grover Beach,2/28,https://slo.craigslist.org/apa/d/grover-beach-studio-apartment-minutes/7594364625.html
3150 Rose Ave,"$3,295",3br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-3150-rose-ave/7590480196.html
832 Longbranch Ave,"$2,995",3br,None Listed,Grover Beach,2/28,https://slo.craigslist.org/apa/d/grover-beach-832-longbranch-ave/7588151733.html
232 E. Vintage St,"$2,995",3br,None Listed,Nipomo,2/28,https://slo.craigslist.org/apa/d/nipomo-232-vintage-st/7584879645.html
